,Rewards,Epsilon over episodes,Timesteps per episode,Average score over 100 episodes
465,10.0,0.01453506323679443,10,9.74
466,10.0,0.014389712604426485,10,9.73
467,10.0,0.01424581547838222,10,9.73
468,10.0,0.014103357323598397,10,9.73
469,10.0,0.013962323750362413,10,9.73
470,8.0,0.013822700512858789,8,9.71
471,10.0,0.0136844735077302,10,9.7
472,11.0,0.013547628772652899,11,9.73
473,11.0,0.01341215248492637,11,9.75
474,9.0,0.013278030960077106,9,9.75
475,11.0,0.013145250650476335,11,9.76
476,11.0,0.01301379814397157,11,9.79
477,10.0,0.012883660162531854,10,9.79
478,11.0,0.012754823560906535,11,9.81
479,11.0,0.01262727532529747,11,9.82
480,12.0,0.012501002572044496,12,9.85
481,9.0,0.01237599254632405,9,9.85
482,9.0,0.01225223262086081,9,9.84
483,9.0,0.012129710294652202,9,9.84
484,11.0,0.01200841319170568,11,9.86
485,10.0,0.011888329059788623,10,9.86
486,10.0,0.011769445769190737,10,9.87
487,13.0,0.01165175131149883,13,9.91
488,11.0,0.011535233798383842,11,9.93
489,10.0,0.011419881460400004,10,9.94
490,10.0,0.011305682645796004,10,9.95
491,10.0,0.011192625819338045,10,9.95
492,10.0,0.011080699561144665,10,9.96
493,9.0,0.010969892565533218,9,9.95
494,10.0,0.010860193639877886,10,9.95
495,10.0,0.010751591703479106,10,9.95
496,9.0,0.010644075786444315,9,9.93
497,10.0,0.010537635028579873,10,9.93
498,9.0,0.010432258678294073,9,9.92
499,10.0,0.010327936091511133,10,9.92
500,10.0,0.010224656730596022,10,9.92
501,11.0,0.01012241016329006,11,9.94
502,11.0,0.01002118606165716,11,9.95
503,10.0,0.009920974201040588,10,9.95
504,10.0,0.009821764459030182,10,9.95
505,11.0,0.00972354681443988,11,9.97
506,12.0,0.00962631134629548,12,9.99
507,10.0,0.009530048232832525,10,9.99
508,9.0,0.009434747750504199,9,9.98
509,26.0,0.009340400272999157,26,10.14
510,11.0,0.009246996270269165,11,10.15
511,9.0,0.009154526307566474,9,10.15
512,11.0,0.009062981044490808,11,10.17
513,9.0,0.0089723512340459,9,10.18
514,11.0,0.00888262772170544,11,10.2
515,12.0,0.008793801444488386,12,10.22
516,9.0,0.008705863430043502,9,10.22
517,11.0,0.008618804795743068,11,10.24
518,9.0,0.008532616747785637,9,10.23
519,11.0,0.00844729058030778,11,10.25
520,11.0,0.008362817674504702,11,10.26
521,11.0,0.008279189497759654,11,10.29
522,10.0,0.008196397602782058,10,10.29
523,10.0,0.008114433626754238,10,10.29
524,10.0,0.008033289290486696,10,10.3
525,9.0,0.00795295639758183,9,10.29
526,11.0,0.00787342683360601,11,10.3
527,11.0,0.0077946925652699495,11,10.3
528,10.0,0.00771674563961725,10,10.3
529,10.0,0.007639578183221077,10,10.3
530,13.0,0.0075631824013888665,13,10.33
531,10.0,0.007487550577374978,10,10.33
532,13.0,0.007412675071601228,13,10.36
533,11.0,0.007338548320885215,11,10.38
534,12.0,0.0072651628376763635,12,10.38
535,9.0,0.0071925112092996,9,10.35
536,10.0,0.007120586097206604,10,10.35
537,23.0,0.007049380236234538,23,10.48
538,11.0,0.006978886433872193,11,10.5
539,11.0,0.006909097569533471,11,10.51
540,10.0,0.006840006593838137,10,10.5
541,12.0,0.0067716065278997555,12,10.53
542,11.0,0.006703890462620758,11,10.55
543,10.0,0.006636851557994551,10,10.54
544,9.0,0.006570483042414605,9,10.53
545,10.0,0.006504778211990459,10,10.53
546,28.0,0.006439730429870554,28,10.71
547,11.0,0.0063753331255718484,11,10.72
548,11.0,0.00631157979431613,11,10.74
549,25.0,0.006248463996372969,25,10.88
550,26.0,0.006185979356409239,26,11.04
551,12.0,0.006124119562845147,12,11.07
552,28.0,0.006062878367216695,28,11.25
553,10.0,0.006002249583544528,10,11.24
554,24.0,0.005942227087709083,24,11.38
555,11.0,0.005882804816831992,11,11.4
556,9.0,0.005823976768663672,9,11.39
557,11.0,0.005765737000977035,11,11.42
558,21.0,0.005708079630967265,21,11.52
559,12.0,0.005650998834657592,12,11.54
560,11.0,0.005594488846311016,11,11.55
561,25.0,0.005538543957847906,25,11.71
562,28.0,0.005483158518269427,28,11.88
