,Rewards,Timesteps per episode,Average score over 100 episodes
236,147.0,147,123.25
237,252.0,252,124.92
238,215.0,215,126.24
239,62.0,62,126.43
240,113.0,113,126.47
241,95.0,95,126.85
242,147.0,147,128.03
243,149.0,149,128.27
244,123.0,123,129.09
245,335.0,335,131.3
246,101.0,101,131.14
247,212.0,212,132.18
248,183.0,183,133.53
249,89.0,89,133.26
250,166.0,166,134.22
251,148.0,148,135.31
252,218.0,218,136.32
253,126.0,126,136.7
254,140.0,140,136.4
255,116.0,116,136.79
256,160.0,160,137.59
257,216.0,216,138.98
258,420.0,420,141.86
259,201.0,201,143.0
260,204.0,204,143.99
261,389.0,389,146.81
262,225.0,225,147.95
263,353.0,353,150.7
264,200.0,200,151.4
265,139.0,139,151.81
266,356.0,356,153.84
267,152.0,152,154.61
268,128.0,128,155.21
269,460.0,460,158.99
270,373.0,373,161.72
271,219.0,219,162.48
272,146.0,146,162.37
273,349.0,349,164.94
274,201.0,201,165.85
275,231.0,231,167.01
276,221.0,221,166.8
277,289.0,289,168.31
278,286.0,286,170.42
279,304.0,304,172.59
280,184.0,184,173.15
281,275.0,275,174.31
282,247.0,247,175.52
283,151.0,151,176.05
284,137.0,137,176.44
285,216.0,216,176.79
286,239.0,239,177.76
287,324.0,324,179.85
288,283.0,283,181.65
289,405.0,405,184.61
290,402.0,402,187.19
291,179.0,179,187.76
292,419.0,419,190.98
293,211.0,211,191.74
294,323.0,323,192.35
295,358.0,358,194.9
296,136.0,136,194.95
297,208.0,208,195.87
298,178.0,178,196.39
299,412.0,412,200.27
300,174.0,174,200.23
301,290.0,290,202.75
302,424.0,424,206.07
303,249.0,249,207.65
304,133.0,133,207.89
305,169.0,169,208.2
306,139.0,139,208.56
307,195.0,195,209.13
308,500.0,500,213.1
309,128.0,128,212.07
310,294.0,294,213.63
311,156.0,156,213.61
312,494.0,494,217.51
313,271.0,271,218.96
314,340.0,340,220.91
315,240.0,240,221.94
316,151.0,151,221.39
317,341.0,341,224.17
318,154.0,154,223.47
319,436.0,436,226.16
320,317.0,317,226.9
321,453.0,453,228.84
322,276.0,276,230.21
323,152.0,152,230.51
324,299.0,299,231.3
325,378.0,378,233.83
326,500.0,500,237.29
327,369.0,369,239.54
328,158.0,158,239.64
329,228.0,228,240.41
330,107.0,107,238.49
331,52.0,52,237.16
332,187.0,187,238.07
333,247.0,247,239.64
334,500.0,500,243.38
335,117.0,117,242.64
336,204.0,204,243.21
337,131.0,131,242.0
338,370.0,370,243.55
339,262.0,262,245.55
340,275.0,275,247.17
341,102.0,102,247.24
342,296.0,296,248.73
343,379.0,379,251.03
344,271.0,271,252.51
345,500.0,500,254.16
346,320.0,320,256.35
347,500.0,500,259.23
348,161.0,161,259.01
349,500.0,500,263.12
350,500.0,500,266.46
351,500.0,500,269.98
352,215.0,215,269.95
353,122.0,122,269.91
354,314.0,314,271.65
355,276.0,276,273.25
356,500.0,500,276.65
357,500.0,500,279.49
358,500.0,500,280.29
359,500.0,500,283.28
360,500.0,500,286.24
361,477.0,477,287.12
362,500.0,500,289.87
363,500.0,500,291.34
364,111.0,111,290.45
365,405.0,405,293.11
366,241.0,241,291.96
367,241.0,241,292.85
368,500.0,500,296.57
369,213.0,213,294.1
370,304.0,304,293.41
371,239.0,239,293.61
372,210.0,210,294.25
373,322.0,322,293.98
374,425.0,425,296.22
375,500.0,500,298.91
376,239.0,239,299.09
377,302.0,302,299.22
378,432.0,432,300.68
379,280.0,280,300.44
380,500.0,500,303.6
381,385.0,385,304.7
382,154.0,154,303.77
383,245.0,245,304.71
384,500.0,500,308.34
385,199.0,199,308.17
386,500.0,500,310.78
387,500.0,500,312.54
388,385.0,385,313.56
389,224.0,224,311.75
390,500.0,500,312.73
391,374.0,374,314.68
392,500.0,500,315.49
393,500.0,500,318.38
394,402.0,402,319.17
395,500.0,500,320.59
396,326.0,326,322.49
397,500.0,500,325.41
398,500.0,500,328.63
399,500.0,500,329.51
400,500.0,500,332.77
401,500.0,500,334.87
402,340.0,340,334.03
403,500.0,500,336.54
404,500.0,500,340.21
405,500.0,500,343.52
406,500.0,500,347.13
407,500.0,500,350.18
408,500.0,500,350.18
409,500.0,500,353.9
410,500.0,500,355.96
411,465.0,465,359.05
412,500.0,500,359.11
413,419.0,419,360.59
414,279.0,279,359.98
415,500.0,500,362.58
416,500.0,500,366.07
417,500.0,500,367.66
418,500.0,500,371.12
419,500.0,500,371.76
420,500.0,500,373.59
421,500.0,500,374.06
422,500.0,500,376.3
423,500.0,500,379.78
424,500.0,500,381.79
425,500.0,500,383.01
426,492.0,492,382.93
427,500.0,500,384.24
428,500.0,500,387.66
429,500.0,500,390.38
430,326.0,326,392.57
431,500.0,500,397.05
432,206.0,206,397.24
433,481.0,481,399.58
434,500.0,500,399.58
435,500.0,500,403.41
436,500.0,500,406.37
437,500.0,500,410.06
438,500.0,500,411.36
439,228.0,228,411.02
440,143.0,143,409.7
441,500.0,500,413.68
442,500.0,500,415.72
443,500.0,500,416.93
444,500.0,500,419.22
445,450.0,450,418.72
446,500.0,500,420.52
447,224.0,224,417.76
448,500.0,500,421.15
449,500.0,500,421.15
450,500.0,500,421.15
451,411.0,411,420.26
452,500.0,500,423.11
453,467.0,467,426.56
454,500.0,500,428.42
455,500.0,500,430.66
456,500.0,500,430.66
457,500.0,500,430.66
458,207.0,207,427.73
459,412.0,412,426.85
460,483.0,483,426.68
461,239.0,239,424.3
462,151.0,151,420.81
463,500.0,500,420.81
464,500.0,500,424.7
465,500.0,500,425.65
466,500.0,500,428.24
467,500.0,500,430.83
468,169.0,169,427.52
469,281.0,281,428.2
470,300.0,300,428.16
471,325.0,325,429.02
472,132.0,132,428.24
473,281.0,281,427.83
474,438.0,438,427.96
475,500.0,500,427.96
476,500.0,500,430.57
477,500.0,500,432.55
478,500.0,500,433.23
479,500.0,500,435.43
480,231.0,231,432.74
481,500.0,500,433.89
482,440.0,440,436.75
483,500.0,500,439.3
484,491.0,491,439.21
485,500.0,500,442.22
486,500.0,500,442.22
487,500.0,500,442.22
488,500.0,500,443.37
489,500.0,500,446.13
490,500.0,500,446.13
491,500.0,500,447.39
492,500.0,500,447.39
493,500.0,500,447.39
494,500.0,500,448.37
495,500.0,500,448.37
496,500.0,500,450.11
497,500.0,500,450.11
498,500.0,500,450.11
499,500.0,500,450.11
500,500.0,500,450.11
501,500.0,500,450.11
502,500.0,500,451.71
503,500.0,500,451.71
504,500.0,500,451.71
505,500.0,500,451.71
506,500.0,500,451.71
507,500.0,500,451.71
508,500.0,500,451.71
509,500.0,500,451.71
510,500.0,500,451.71
511,500.0,500,452.06
512,500.0,500,452.06
513,500.0,500,452.87
514,500.0,500,455.08
515,500.0,500,455.08
516,500.0,500,455.08
517,500.0,500,455.08
518,500.0,500,455.08
519,500.0,500,455.08
520,500.0,500,455.08
521,500.0,500,455.08
522,500.0,500,455.08
523,500.0,500,455.08
524,500.0,500,455.08
525,500.0,500,455.08
526,500.0,500,455.16
527,500.0,500,455.16
528,500.0,500,455.16
529,500.0,500,455.16
530,500.0,500,456.9
531,500.0,500,456.9
532,500.0,500,459.84
533,500.0,500,460.03
534,500.0,500,460.03
535,500.0,500,460.03
536,500.0,500,460.03
537,500.0,500,460.03
538,500.0,500,460.03
539,500.0,500,462.75
540,427.0,427,465.59
541,500.0,500,465.59
542,500.0,500,465.59
543,500.0,500,465.59
544,500.0,500,465.59
545,500.0,500,466.09
546,500.0,500,466.09
547,500.0,500,468.85
548,500.0,500,468.85
549,500.0,500,468.85
550,500.0,500,468.85
551,500.0,500,469.74
552,96.0,96,465.7
553,500.0,500,466.03
554,500.0,500,466.03
555,500.0,500,466.03
556,500.0,500,466.03
557,500.0,500,466.03
558,500.0,500,468.96
559,231.0,231,467.15
560,500.0,500,467.32
561,500.0,500,469.93
562,500.0,500,473.42
563,382.0,382,472.24
564,500.0,500,472.24
565,500.0,500,472.24
566,500.0,500,472.24
567,500.0,500,472.24
568,500.0,500,475.55
569,500.0,500,477.74
570,500.0,500,479.74
